org_name,n_records,normalized,legacy_cik,resolved_cik,method,grade,legacy_vs_resolved,evidence
"DiGiovine, Hnilo, Jordan + Johnson Ltd",1,DIGIOVINE HNILO JORDAN JOHNSON,200406,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Disney Consumer Products and Interactive Media,1,DISNEY CONSUMER PRODUCTS AND INTERACTIVE MEDIA,1744489,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
DoorDash Inc.,1,DOORDASH,1792789,1792789.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: DOORDASH INC
Doubletree Suites by Hilton Walt Disney World,1,DOUBLETREE SUITES BY HILTON WALT DISNEY WORLD,1744489,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Duke Energy,1,DUKE ENERGY,1326160,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,"Candidates: 30371 (DUKE ENERGY CAROLINAS, LLC) | 1326160 (DEER HOLDING CORP., DUK) || legacy ticker: DUK"
Duke Energy Corporation,2,DUKE ENERGY,1326160,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,"Candidates: 30371 (DUKE ENERGY CAROLINAS, LLC) | 1326160 (DEER HOLDING CORP., DUK) || legacy ticker: DUK"
"Dulany Industries, Inc.",1,DULANY INDUSTRIES,1324404,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Dynapar Corporation,1,DYNAPAR,1841666,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
E.W. Wylie Corporation,1,E W WYLIE,1004980,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"EBSCO Industries, Inc.",2,EBSCO INDUSTRIES,1324404,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
EMC Corporation,1,EMC,874761,790070.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,EDGAR name: EMC CORP
EMJ Corporation,1,EMJ,874761,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"Eagle Capital Management, LLC",1,EAGLE CAPITAL MANAGEMENT,927628,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,"Candidates: 945631 (EAGLE CAPITAL MANAGEMENT LLC) | 1600746 (EAGLE CAPITAL MANAGEMENT, LLC) || legacy ticker: COF"
EatStreet,1,EATSTREET,93751,1560142.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,"EDGAR name: EATSTREET, INC."
Ensinger Industries Inc.,1,ENSINGER INDUSTRIES,1324404,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"Ensinger Industries, Inc.",2,ENSINGER INDUSTRIES,1324404,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Entercom Communications Corp.,1,ENTERCOM COMMUNICATIONS,1034054,1067837.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,"EDGAR name: AUDACY, INC."
"Equifax, Inc.",1,EQUIFAX,33185,33185.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: EQUIFAX INC
"Essex Property Trust, Inc.",1,ESSEX PROPERTY TRUST,920522,920522.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: ESSEX PORTFOLIO LP
Evening Post Industries,1,EVENING POST INDUSTRIES,1324404,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Evening Telegram Company d/b/a Morgan Murphy Media,1,EVENING TELEGRAM D B A MORGAN MURPHY MEDIA,19617,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
FGX International Inc.,1,FGX INTERNATIONAL,5272,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Facebook,3,FACEBOOK,1326801,1326801.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: FACEBOOK INC
"Facebook, Inc.",1,FACEBOOK,1326801,1326801.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: FACEBOOK INC
"FedEx Ground Package System, Inc.",1,FEDEX GROUND PACKAGE SYSTEM,1048911,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,Candidates: 1139209 (FEDEX GROUND PACKAGE SYSTEM INC) | 1139210 (FEDEX GROUND PACKAGE SYSTEM LTD) || legacy ticker: FDX
Festo Corporation,2,FESTO,874761,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"Fidelity National Information Services, Inc.",21,FIDELITY NATIONAL INFORMATION SERVICES,1136893,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,"Candidates: 1136893 (CERTEGY INC, FIS) | 1291080 (FIDELITY NATIONAL INFORMATION SERVICES, ) || legacy ticker: FIS"
Fidelity National Technology Imaging (FNTI),1,FIDELITY NATIONAL TECHNOLOGY IMAGING FNTI,1136893,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"Financial Business and Consumer Solutions, Inc.",15,FINANCIAL BUSINESS AND CONSUMER SOLUTIONS,713676,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Financial Institution Service Corporation,9,FINANCIAL INSTITUTION SERVICE,713676,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"Financial Risk Mitigation, Inc.",2,FINANCIAL RISK MITIGATION,713676,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
First American Financial Corporation,2,FIRST AMERICAN FINANCIAL,713676,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,"Candidates: 36047 (CORELOGIC, INC.) | 1472787 (FIRST AMERICAN FINANCIAL CORP, FAF) || legacy ticker: PNC"
Fiserv,2,FISERV,798354,798354.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: FISERV INC
"Fiserv, Inc.",2,FISERV,798354,798354.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: FISERV INC
Fluke Corporation,2,FLUKE,1065696,37743.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,EDGAR name: FLUKE CORP
Flutter International Inc.,2,FLUTTER INTERNATIONAL,5272,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"Focus Medical Communications, LLC",1,FOCUS MEDICAL COMMUNICATIONS,1034054,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Forum Communications Company,1,FORUM COMMUNICATIONS,1034054,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Fox Entertainment Group,1,FOX ENTERTAINMENT GROUP,1308161,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,"Candidates: 1068002 (FOX ENTERTAINMENT GROUP INC) | 1321244 (FOX ENTERTAINMENT GROUP, INC.) || legacy ticker: FOXA"
Fox Entertainment Group Inc.,1,FOX ENTERTAINMENT GROUP,1308161,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,"Candidates: 1068002 (FOX ENTERTAINMENT GROUP INC) | 1321244 (FOX ENTERTAINMENT GROUP, INC.) || legacy ticker: FOXA"
Fox Group,1,FOX GROUP,1308161,1145813.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,EDGAR name: FOX GROUP INC
Fox News LLC,1,FOX NEWS,1308161,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Franklin International,2,FRANKLIN INTERNATIONAL,5272,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"Freedom Financial Network, LLC",1,FREEDOM FINANCIAL NETWORK,713676,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Freeport-McMoRan Inc.,1,FREEPORT MCMORAN,831259,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,"Candidates: 351116 (FREEPORT MCMORAN INC) | 831259 (FREEPORT MCMORAN COPPER & GOLD INC, FCX) || legacy ticker: FCX"
Frontier Communications,1,FRONTIER COMMUNICATIONS,20520,20520.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: CITIZENS COMMUNICATIONS CO
"Frontier Communications Parent, Inc.",13,FRONTIER COMMUNICATIONS PARENT,20520,20520.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: CITIZENS COMMUNICATIONS CO
GC Services,4,GC SERVICES,1136893,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"GIGAFLIGHT Connectivity, Inc.",1,GIGAFLIGHT CONNECTIVITY,1385157,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Gallagher NAC,4,GALLAGHER NAC,354190,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Gates Corporation,3,GATES,874761,1516658.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,EDGAR name: GATES CORP
General Dynamics Information Technology,1,GENERAL DYNAMICS INFORMATION TECHNOLOGY,40533,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"General Mills, Inc.",1,GENERAL MILLS,40704,40704.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: GENERAL MILLS INC
"Georgetown Capital Group, Inc.",1,GEORGETOWN CAPITAL GROUP,927628,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Global Payments Inc.,1,GLOBAL PAYMENTS,1123360,1123360.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: GLOBAL PAYMENTS INC
"Global Payments, Inc.",1,GLOBAL PAYMENTS,1123360,1123360.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: GLOBAL PAYMENTS INC
GoDaddy,1,GODADDY,1609711,1609711.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: GODADDY INC.
GoDaddy.com,2,GODADDY COM,1609711,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
GoDaddy.com LLC,2,GODADDY COM,1609711,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"GoDaddy.com, LLC",5,GODADDY COM,1609711,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Google,1,GOOGLE,1652044,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,Candidates: 1136101 (GOOGLE INC) | 1288776 (GOOGLE INC.) | 1302837 (GOOGLE INC) | 1824723 (GOOGLE LLC) || legacy ticker: GOOG
Google Inc.,5,GOOGLE,1652044,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,Candidates: 1136101 (GOOGLE INC) | 1288776 (GOOGLE INC.) | 1302837 (GOOGLE INC) | 1824723 (GOOGLE LLC) || legacy ticker: GOOG
"Google, Inc.",2,GOOGLE,1652044,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,Candidates: 1136101 (GOOGLE INC) | 1288776 (GOOGLE INC.) | 1302837 (GOOGLE INC) | 1824723 (GOOGLE LLC) || legacy ticker: GOOG
"Grand River Capital, LLC",1,GRAND RIVER CAPITAL,927628,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Gray Television,1,GRAY TELEVISION,879585,43196.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,EDGAR name: GRAY COMMUNICATIONS SYSTEMS INC /GA/
Gray Television Inc,1,GRAY TELEVISION,879585,43196.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,EDGAR name: GRAY COMMUNICATIONS SYSTEMS INC /GA/
"Gray Television, Inc.",3,GRAY TELEVISION,879585,43196.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,EDGAR name: GRAY COMMUNICATIONS SYSTEMS INC /GA/
"Gray, Inc.",1,GRAY,879585,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"HBP, Inc.",1,HBP,47217,1168812.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,EDGAR name: HBP INC
HP Enterprise Services,1,HP ENTERPRISE SERVICES,1645590,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
HP Enterprise Services LLC,1,HP ENTERPRISE SERVICES,1645590,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"HP Enterprise Services, LLC",1,HP ENTERPRISE SERVICES,1645590,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"HTI Technology & Industries, Inc.",1,HTI TECHNOLOGY INDUSTRIES,1324404,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"Harrison, Mauro & Morgan, P.A.",1,HARRISON MAURO MORGAN P A,19617,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"Healthcare Fiscal Management, Inc.",2,HEALTHCARE FISCAL MANAGEMENT,1932393,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"Henry Schein, Inc.",3,HENRY SCHEIN,1000228,1000228.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: HENRY SCHEIN INC
"Herbalife International of America, Inc.",2,HERBALIFE INTERNATIONAL OF AMERICA,70858,1205274.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,EDGAR name: HERBALIFE INTERNATIONAL OF AMERICA INC
Hershey Entertainment & Resorts Company,1,HERSHEY ENTERTAINMENT RESORTS,47111,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Hewlett Packard Company,1,HEWLETT PACKARD,1645590,47217.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,EDGAR name: HEWLETT PACKARD CO
Hewlett Packard Enterprise Company,2,HEWLETT PACKARD ENTERPRISE,1645590,1645590.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: HEWLETT PACKARD ENTERPRISE CO
Hewlett-Packard Company,4,HEWLETT PACKARD,1645590,47217.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,EDGAR name: HEWLETT PACKARD CO
Holden International,1,HOLDEN INTERNATIONAL,5272,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Home Box Office,1,HOME BOX OFFICE,1755336,1457937.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,"EDGAR name: HOME BOX OFFICE, INC."
"Home Box Office, Inc.",4,HOME BOX OFFICE,1755336,1457937.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,"EDGAR name: HOME BOX OFFICE, INC."
Honeywell International Inc.,3,HONEYWELL INTERNATIONAL,773840,773840.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: ALLIED SIGNAL INC
"Honeywell International, Inc.",2,HONEYWELL INTERNATIONAL,773840,773840.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: ALLIED SIGNAL INC
Horizon Healthcare RCM,1,HORIZON HEALTHCARE RCM,1932393,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"Hoya Optical Labs of America, Inc.",1,HOYA OPTICAL LABS OF AMERICA,70858,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Huntington Hospitality Financial Services Corp,1,HUNTINGTON HOSPITALITY FINANCIAL SERVICES,713676,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"Huntington Ingalls Industries, Inc.",1,HUNTINGTON INGALLS INDUSTRIES,1501585,1501585.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,"EDGAR name: HUNTINGTON INGALLS INDUSTRIES, INC."
Huntwood Industries,2,HUNTWOOD INDUSTRIES,1324404,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
IBM,2,IBM,51143,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"IES Communications, LLC",1,IES COMMUNICATIONS,1034054,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"IMA Financial Group, Inc.",3,IMA FINANCIAL GROUP,713676,1673769.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,"EDGAR name: IMA FINANCIAL GROUP, INC."
Impact Mobile Home Communities,2,IMPACT MOBILE HOME COMMUNITIES,1283699,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"Indian Industries, Inc. d/b/a RAVE Sports",1,INDIAN INDUSTRIES D B A RAVE SPORTS,1324404,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
InterActive Financial Marketing Group,1,INTERACTIVE FINANCIAL MARKETING GROUP,713676,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
International Paper Company,1,INTERNATIONAL PAPER,51434,1283246.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,EDGAR name: INTERNATIONAL PAPER CO
Intuit,23,INTUIT,896878,896878.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: INTUIT INC
Intuit Inc,18,INTUIT,896878,896878.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: INTUIT INC
Intuit Inc.,41,INTUIT,896878,896878.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: INTUIT INC
"Intuit, Inc.",16,INTUIT,896878,896878.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: INTUIT INC
J&M Brown Company Inc.,1,J M BROWN,79282,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"J.B. Hunt Transport, Inc.",4,J B HUNT TRANSPORT,728535,1501362.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,"EDGAR name: J.B. HUNT TRANSPORT, INC."
"Jet Industries, Inc.",2,JET INDUSTRIES,1324404,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Johnson Engineering,1,JOHNSON ENGINEERING,200406,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"Johnson Matthey, Inc.",1,JOHNSON MATTHEY,200406,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"Johnson Oâ€™Hare Company, Inc.",2,JOHNSON OÂ HARE,200406,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"Johnson, Lauder & Savidge, LLP",1,JOHNSON LAUDER SAVIDGE,200406,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
KeraLink International,1,KERALINK INTERNATIONAL,5272,1826210.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,"EDGAR name: KERALINK INTERNATIONAL, INC."
"King Industries, Inc.",1,KING INDUSTRIES,1324404,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"LC Industries, Inc.",1,LC INDUSTRIES,1324404,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
LCS Financial Services,2,LCS FINANCIAL SERVICES,713676,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
LPL Financial LLC,1,LPL FINANCIAL,713676,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,Candidates: 80386 (LINSCO PRIVATE LEDGER CORP              ) | 1403438 (LINSCO/PRIVATE LEDGER CORP.) || legacy ticker: PNC
"LX/JT Intermediate Holdings, Inc. d/b/a Bevolution Group",1,LX JT INTERMEDIATE HOLDINGS D B A BEVOLUTION GROUP,1973266,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Lavelle Industries Inc.,1,LAVELLE INDUSTRIES,1324404,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Lawrence Semiconductor Research Laboratory,1,LAWRENCE SEMICONDUCTOR RESEARCH LABORATORY,1097864,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"Leidos, Inc.",1,LEIDOS,1336920,353394.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,"EDGAR name: LEIDOS, INC."
Lennar Corporation,1,LENNAR,920760,58696.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,EDGAR name: LENNAR CORP
"Livingston Street Capital, LLC",1,LIVINGSTON STREET CAPITAL,927628,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
MD2 International,1,MD2 INTERNATIONAL,5272,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
MGM Resorts International,2,MGM RESORTS INTERNATIONAL,789570,789570.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: MGM GRAND INC
MNP Corporation,1,MNP,1841666,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
MSX International Inc.,3,MSX INTERNATIONAL,5272,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,Candidates: 1059274 (MSX INTERNATIONAL INC) | 1264091 (MSX INTERNATIONAL LTD) || legacy ticker: AIG
"MW Industries, Inc.",1,MW INDUSTRIES,1324404,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
